bug_id,title,description,error_type,stack_trace,severity,priority,component,root_cause,resolution,status,technologies
BUG-001,"NullPointerException in User Profile","Application crashes when a user with incomplete profile data opens the profile page.","NullPointerException","UserService.getProfile(UserService.java:142)","HIGH","P1","User Service","UserProfile object can be null when optional profile data is missing.","Added null validation before accessing UserProfile and handled missing profile data safely.","RESOLVED","Java,Spring Boot"
BUG-002,"Database Connection Timeout","Application fails to load customer data when the database responds slowly.","SQLTimeoutException","CustomerRepository.findCustomer(CustomerRepository.java:87)","HIGH","P1","Customer Service","Database connection timeout was configured too aggressively for peak load.","Increased connection timeout and optimized the slow database query.","RESOLVED","Java,Spring Boot,PostgreSQL"
BUG-003,"Invalid Authentication Token","Users are unexpectedly logged out after keeping the application open for a long time.","AuthenticationException","AuthFilter.validateToken(AuthFilter.java:65)","MEDIUM","P2","Authentication","Expired authentication tokens were not refreshed correctly.","Implemented token refresh handling and improved expiration validation.","RESOLVED","Java,Spring Security,JWT"
BUG-004,"Missing Request Parameter","API returns an internal server error when the customerId parameter is missing.","IllegalArgumentException","OrderController.createOrder(OrderController.java:54)","MEDIUM","P2","Order Service","The controller assumed customerId was always present.","Added request validation and returned a proper 400 response for missing parameters.","RESOLVED","Java,Spring Boot,REST"
BUG-005,"OutOfMemoryError During Report Generation","Application crashes while generating very large customer reports.","OutOfMemoryError","ReportService.generateReport(ReportService.java:210)","CRITICAL","P0","Reporting Service","The application loaded the complete report dataset into memory.","Changed processing to streaming and generated the report in batches.","RESOLVED","Java,Spring Boot,PostgreSQL"
BUG-006,"Duplicate Order Creation","Customers occasionally receive two orders after clicking the submit button repeatedly.","DuplicateRecordException","OrderService.createOrder(OrderService.java:118)","HIGH","P1","Order Service","The API did not protect against repeated identical requests.","Implemented idempotency keys and duplicate request detection.","RESOLVED","Java,Spring Boot,PostgreSQL"
BUG-007,"File Upload Size Error","Users receive an unexpected server error when uploading files larger than the configured limit.","MaxUploadSizeExceededException","FileUploadController.upload(FileUploadController.java:73)","MEDIUM","P2","File Service","The file size exception was not handled by the global exception handler.","Added exception handling and returned a clear file-size validation message.","RESOLVED","Java,Spring Boot"
BUG-008,"Null Customer Address","Checkout crashes when an existing customer does not have a saved address.","NullPointerException","CheckoutService.getAddress(CheckoutService.java:156)","HIGH","P1","Checkout Service","Checkout logic assumed every customer had a saved address.","Added address existence validation and allowed the customer to provide a new address.","RESOLVED","Java,Spring Boot"
BUG-009,"Slow Product Search","Product search takes more than ten seconds when many filters are selected.","QueryTimeoutException","ProductRepository.search(ProductRepository.java:201)","HIGH","P1","Product Service","Database query performed full table scans because required indexes were missing.","Added database indexes and optimized the search query.","RESOLVED","Java,Spring Boot,PostgreSQL"
BUG-010,"Incorrect HTTP Status","API returns HTTP 500 when a requested product does not exist.","ProductNotFoundException","ProductService.getProduct(ProductService.java:91)","LOW","P3","Product Service","Resource-not-found exception was not mapped to an appropriate HTTP response.","Added exception mapping to return HTTP 404.","RESOLVED","Java,Spring Boot,REST"
